Price,Date,Close,High,Low,Open,Volume
Ticker,,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS
122,2008-04-02,32.38793182373047,33.326244635321785,32.03201968929024,32.03201968929024,6087024
123,2008-04-03,32.12910079956055,32.614434542429876,31.870255697846225,32.468834858419754,3883474
124,2008-04-04,31.967313766479492,32.33940417975789,31.35255874524078,32.33940417975789,5906537
125,2008-04-07,31.8378963470459,32.16145212395377,31.465805887050017,32.01585246319584,4088729
126,2008-04-08,31.02899742126465,31.854064839061817,30.802508885502302,31.789351948056257,5753811
127,2008-04-09,31.109901428222656,31.384922571364548,30.75398913209381,31.126079658820046,3776374
128,2008-04-10,31.724647521972656,31.95113610250256,30.948114618940757,31.061357812079304,7075297
129,2008-04-11,31.870248794555664,32.193804553051066,31.54669303606026,32.032026673803365,4012660
130,2008-04-15,32.35558319091797,32.517361062987504,31.12607092433895,31.6761152505248,6362785
131,2008-04-16,31.91878890991211,32.90563458021062,31.789365267924346,32.679145949548655,4725794
132,2008-04-17,33.148311614990234,33.9086666937579,32.04822019457055,32.4041325764645,14831167
133,2008-04-21,33.68216323852539,34.26456406546934,33.32625320679793,33.6498089779609,7639361
134,2008-04-22,34.23221206665039,34.6204807979892,33.326257544868604,33.649813358148755,8814769
135,2008-04-23,34.26457214355469,34.669016952858776,33.811594834835525,34.29692860600043,5265604
136,2008-04-24,33.051231384277344,34.68518853971219,32.76003205506258,34.620477821470374,8801780
137,2008-04-25,33.326255798339844,33.795411264158375,32.873276366934945,33.649811594663404,4095990
138,2008-04-28,33.45567321777344,34.102784732637325,33.32625179250183,33.35860605169327,4708244
139,2008-04-29,33.92483139038086,34.24838717416646,33.48803239882215,33.64981029071495,6497143
140,2008-04-30,34.15132141113281,34.58812261499094,33.97336747810109,34.26456681783772,6331377
141,2008-05-02,34.45869445800781,35.42936166028941,34.39398155578684,34.66900480746772,5658418
142,2008-05-05,34.29691696166992,35.105806305647725,34.07042618995391,34.91167198539194,7642293
143,2008-05-06,34.00572204589844,34.685190103708365,33.81158988241931,34.02190027475166,5061166
144,2008-05-07,33.520389556884766,34.19985763924331,33.00270157465027,33.973369009874894,4303106
145,2008-05-08,33.115943908691406,33.45567794080675,32.921811743377795,33.26154358123992,3642073
146,2008-05-09,32.92181396484375,33.77923602323823,32.420301997333254,32.679147096137385,8621761
147,2008-05-12,32.92181396484375,33.164480833550115,32.193811164471285,32.92181396484375,4890395
148,2008-05-13,33.01887512207031,33.26154196259305,32.743854019363084,33.06740980672673,5056766
149,2008-05-14,33.06739807128906,33.245354130034066,32.35557603056139,32.35557603056139,2982486
150,2008-05-15,33.08358383178711,33.4556720622815,32.355583402708916,32.355583402708916,2646760
151,2008-05-16,33.342437744140625,33.43950493909769,32.93799292703086,33.326261706859086,4422288
152,2008-05-20,33.2777214050293,33.40714504124895,32.93798737705083,33.00270029228726,3464912
153,2008-05-21,33.48802185058594,33.97335537339139,32.51735480497503,32.51735480497503,3419088
154,2008-05-22,33.035057067871094,33.196834979758506,32.6791469782708,32.6791469782708,3558000
155,2008-05-23,32.48500061035156,33.293889871084694,32.355579206335285,32.84091276277516,4417028
156,2008-05-26,32.242332458496094,32.43646675050226,30.73779718107938,30.73779718107938,2605807
157,2008-05-27,31.271669387817383,32.646781248408764,31.126069747311195,32.29086906561343,3316550
158,2008-05-28,32.4202995300293,32.614431693668195,30.834874791919,31.38491921360902,4505700
159,2008-05-29,32.95416259765625,33.32625304928685,31.999673516087327,32.760030452427806,11026212
160,2008-05-30,31.902603149414062,33.164471841086645,31.773181732230974,33.03504822965078,4023430
161,2008-06-02,30.543678283691406,32.355591811313566,30.090698804659166,31.708477956374164,4431595
162,2008-06-03,29.411218643188477,30.41423991526224,29.136195442799988,30.090684241512182,6240766
163,2008-06-04,28.50527572631836,29.589186426685977,28.327319583197298,29.2818088308878,5762089
164,2008-06-05,28.45673942565918,28.667052017175745,27.502250231978135,28.472917654891727,9721099
165,2008-06-06,28.14935302734375,29.330332671742863,27.744908394519236,28.311130880473552,6317089
166,2008-06-09,27.761098861694336,28.440567022194983,26.531586196825966,27.825809592634034,6500809
167,2008-06-10,27.566965103149414,27.793455957982655,26.936031622158385,27.502254370734313,6717902
168,2008-06-11,27.696388244628906,28.149365557322742,27.502253856758095,27.825809707040417,2586175
169,2008-06-12,27.890522003173828,28.05229993739229,26.531587794589445,27.340477465681776,3244212
170,2008-06-13,27.712562561035156,28.11700731675208,27.421361020367033,27.84198400516328,4248430
171,2008-06-16,28.683225631713867,29.120024585198728,27.858158016127486,27.955225181652867,4354615
172,2008-06-17,29.540658950805664,29.767147628608093,28.18172468973732,29.0876815952008,4736084
173,2008-06-18,29.508298873901367,30.155412750830106,29.44358814448454,29.44358814448454,5055019
174,2008-06-19,28.877363204956055,29.443585883822646,28.408207709888686,28.92589789398232,4221271
175,2008-06-20,28.21407127380371,29.23327333759378,27.841982989814845,29.12002793242161,3837789
176,2008-06-23,27.227222442626953,28.084646508490145,26.95220136789011,27.98757934330242,4516050
177,2008-06-24,26.385984420776367,27.631675218609992,26.110961093175685,27.227228245092903,5238203
178,2008-06-25,25.65797996520996,26.19184611596954,25.07557913167486,25.88446856873666,3933879
179,2008-06-26,27.113981246948242,28.278782926692646,25.803579905799054,25.803579905799054,18253250
180,2008-06-27,25.916831970214844,26.790434625752912,25.7712322590431,26.208033586812135,6821283
181,2008-06-30,25.399137496948242,26.143316293794225,24.671136929344115,25.900649437926184,4596315
182,2008-07-01,23.6033935546875,25.39912805974543,22.69743719054317,25.39912805974543,6202295
183,2008-07-02,24.63877296447754,24.897617970728405,22.859216563600132,23.619573358039695,5245963
184,2008-07-03,23.991666793823242,24.63877835387086,23.296022744473284,24.42846797455661,4726793
185,2008-07-04,24.31521987915039,24.784375269340877,23.45779803481098,23.619575906894102,4862814
186,2008-07-07,24.84909439086914,25.852118415014385,24.63878396367106,24.63878396367106,5528014
187,2008-07-08,25.577098846435547,26.208032361517837,22.972471429146022,22.972471429146022,8354280
188,2008-07-09,27.35665512084961,27.469898355861403,25.91682978127629,25.91682978127629,6860769
189,2008-07-10,28.553815841674805,28.89354998842201,26.5963021335161,27.35665940508109,7216175
190,2008-07-11,27.19487190246582,29.18473918677837,26.984559316757974,28.828829124758705,6040791
191,2008-07-14,27.21105194091797,28.181721674102857,26.531585980218114,26.531585980218114,5942149
192,2008-07-15,26.078603744506836,26.822782551844934,25.8844715736273,26.531583198398987,3693378
193,2008-07-16,25.366779327392578,26.531581034690813,24.929978138592464,26.07860161774012,6973872
194,2008-07-17,26.660995483398438,26.85512978181553,25.884462678235124,25.884462678235124,5038238
195,2008-07-18,28.14935302734375,28.375841582874962,26.3536184187524,27.146329460237933,5983177
196,2008-07-21,29.734792709350586,29.912748878838112,28.165545843306553,28.634701421589153,8754188
197,2008-07-22,30.948108673095703,31.223129684382425,29.4759298911116,29.734774873809748,12631056
198,2008-07-23,33.132118225097656,33.77922975489818,31.74082799717593,32.323228812847,12798869
199,2008-07-24,31.967313766479492,33.746870316042134,29.97744686603329,29.97744686603329,10764301
200,2008-07-25,32.03203201293945,33.067412368105465,30.81869771634174,31.627587247406883,10710381
201,2008-07-28,31.773193359375,32.66297196231117,31.417281040499105,32.03203628846266,5533881
202,2008-07-29,30.495141983032227,31.546698376145063,30.25247512308311,31.06136465624683,5145929
203,2008-07-30,31.773193359375,32.03203628846266,30.770169329272804,30.770169329272804,7354746
204,2008-07-31,30.65690803527832,32.323221145819055,30.252463425086752,32.323221145819055,6006517
205,2008-08-01,31.54669189453125,31.676115509797917,29.120023793625652,30.171579970684743,4699412
206,2008-08-04,31.740829467773438,32.32323031042796,30.915761790200623,30.915761790200623,4301346
207,2008-08-05,33.16447448730469,33.407141309575124,31.5466934779155,31.870249240942748,9161115
208,2008-08-06,32.3232307434082,34.345454394815675,32.096742133301184,34.345454394815675,8616591
209,2008-08-07,32.242332458496094,32.97033276214056,31.239308940218283,31.239308940218283,4809365
210,2008-08-08,31.692293167114258,32.48500429366376,31.579047780070272,31.87024706925081,4883824
211,2008-08-11,31.983495712280273,32.45265114561115,31.74082888184158,32.096741110852875,2714705
212,2008-08-12,31.43345832824707,32.355593366756125,31.190791443824,32.1938132495539,5801276
213,2008-08-13,31.562877655029297,31.87025524900023,30.81869882092632,31.061365688943376,2754609
214,2008-08-14,30.80253028869629,31.70848506124998,30.73781735272483,31.384929158408262,2566362
215,2008-08-18,30.44660186767578,31.384912613576464,30.155402586328048,30.73780114902351,2963058
216,2008-08-19,29.880380630493164,30.576024607319066,29.265623395987333,30.39807070226093,2941144
217,2008-08-20,30.220121383666992,30.462788247834723,30.00980878483629,30.09069773955887,3319410
218,2008-08-21,29.896570205688477,30.398082241669965,29.540657871958732,30.090702410606244,4138486
219,2008-08-22,29.58918571472168,30.93194367664132,28.82883085859561,30.93194367664132,4139879
220,2008-08-25,29.912744522094727,30.31718930554432,29.70243191814891,30.31718930554432,2034227
221,2008-08-26,29.961271286010742,30.058338454317763,29.411226924608243,29.60535906696932,1489491
222,2008-08-27,29.362699508666992,30.3333670434077,29.200921586210207,30.123056621915286,4297168
223,2008-08-28,28.92588996887207,29.767133544723823,28.553799565295872,29.443577816876367,7382078
224,2008-08-29,30.12305450439453,30.23629991985502,29.314164948972053,29.443586400138308,2219080
225,2008-09-01,30.106746673583984,30.237148557643383,29.503632985338424,30.057844308904762,3417069
226,2008-09-02,31.687883377075195,31.818285270402725,30.057846445224516,30.318652442755667,5030404
227,2008-09-04,31.019567489624023,31.590079619716754,30.758761502263575,31.329273632356305,2813325
228,2008-09-05,30.334951400756836,30.677259113670893,29.99264368784278,30.644657536869193,3330688
229,2008-09-08,31.932395935058594,33.22012321884778,31.62268749808737,31.94869451731889,8377948
230,2008-09-09,32.04649353027344,32.30729955906494,31.312977817915293,31.93239241265465,3737279
231,2008-09-10,31.76938819885254,32.30729882467044,31.459679803084835,31.883489313877636,3847698
232,2008-09-11,30.92176628112793,31.622680329227897,30.677261072133604,31.622680329227897,2567354
233,2008-09-12,31.231477737426758,32.0790968234769,30.726166444238267,31.13367519505536,6093354
234,2008-09-15,29.259132385253906,30.56316027395029,28.378914002559103,30.090450606473105,6770268
235,2008-09-16,29.82964515686035,30.090451181761132,27.710599797215497,28.118108520224123,4654621
236,2008-09-17,29.06353187561035,30.253456535792147,28.688622500807156,30.253456535792147,4674190
237,2008-09-18,28.998323440551758,29.56883558431424,26.911879913427953,28.68861729039876,6603710
238,2008-09-19,30.75876235961914,30.921765829903407,29.340631283795627,29.682939013567793,9821730
239,2008-09-22,30.090450286865234,32.92671268335532,29.84594506033169,31.622682597633514,4162514
240,2008-09-23,29.731840133666992,30.40015482566227,29.177628758918278,29.731840133666996,6569683
241,2008-09-24,30.416467666625977,30.742474746924145,29.438446425731456,29.82965447991386,5730103
242,2008-09-25,29.471036911010742,30.628362052069722,28.770120626006147,30.4979579425712,10926783
243,2008-09-26,28.998323440551758,29.634038740873653,28.493014453348685,29.634038740873653,4967945
244,2008-09-29,27.92250633239746,29.82964587549766,27.38459347854122,29.82964587549766,7859964
245,2008-09-30,27.971406936645508,29.01462886693982,26.406572935765833,26.406572935765833,6616439
246,2008-10-01,28.900524139404297,29.177628720980284,27.759497601050718,28.330011975665574,3743739
247,2008-10-03,29.308027267456055,29.666633518674054,28.52560940767225,29.047221314194786,4681406
248,2008-10-06,28.704917907714844,29.340630993355393,28.118104978325093,28.982024688805463,5560277
249,2008-10-07,29.65034294128418,30.286058362147187,28.68862273018901,28.68862273018901,9928258
250,2008-10-08,29.42212677001953,29.66663192351587,27.417183184824196,28.656011948923023,9985473
251,2008-10-10,29.242828369140625,29.911143030561206,27.074883127646295,29.308031525084903,9025179
252,2008-10-13,29.82964515686035,30.057849599569916,29.193931991142158,29.389537062536824,6805621
253,2008-10-14,29.112428665161133,30.93806852942204,28.884224234847572,29.992647016871278,5099383
254,2008-10-15,28.867919921875,29.487332187264176,28.558213789180414,28.94942165210389,5495022
255,2008-10-16,27.759489059448242,28.460405114323716,27.22157864064594,28.460405114323716,6651066
256,2008-10-17,25.673051834106445,28.525612412048513,25.298142545908494,28.330009584658054,5586092
257,2008-10-20,25.966459274291992,26.993382491676975,25.151441900594122,25.770856431130174,7922965
258,2008-10-21,26.178373336791992,27.547602512304575,25.428556675406565,26.227273510215838,8047276
259,2008-10-22,24.74393081665039,26.113159429642096,24.499425628227733,25.917556605429514,5408099
260,2008-10-23,23.537715911865234,24.352733561498543,23.179107261675828,24.12452906177659,6641370
261,2008-10-24,20.489545822143555,23.1465020611935,20.21243898013767,22.820495052187297,9905588
262,2008-10-27,18.90840721130371,20.21243498989347,16.95236554341907,20.11463246432402,12878172
263,2008-10-29,21.402360916137695,22.755288804774633,19.560420416749796,21.516462016249573,13094201
